"","nis_code","ID","sex","age_category","increased_compensation","practice_id","ncases","npatients"
"89",11002,2,"F","(-1,5]","No","15b39ce4-97e2-4f75-986d-d0120c628875",0,1
"90",11002,2,"F","(-1,5]","No","167c8263-8650-11e6-93e4-0050568a1344",0,1
"91",11002,2,"F","(-1,5]","No","167e9787-8650-11e6-93e4-0050568a1344",0,1
"92",11002,2,"F","(-1,5]","No","1684eb18-8650-11e6-93e4-0050568a1344",0,2
"93",11002,2,"F","(-1,5]","No","16861f2e-8650-11e6-93e4-0050568a1344",0,1
"94",11002,2,"F","(-1,5]","No","1686963a-8650-11e6-93e4-0050568a1344",0,1
"95",11002,2,"F","(-1,5]","No","1686d888-8650-11e6-93e4-0050568a1344",0,1
"96",11002,2,"F","(-1,5]","No","1687187d-8650-11e6-93e4-0050568a1344",0,1
"97",11002,2,"F","(-1,5]","No","16886497-8650-11e6-93e4-0050568a1344",3,40
"98",11002,2,"F","(-1,5]","No","1688ebe0-8650-11e6-93e4-0050568a1344",10,70
"99",11002,2,"F","(-1,5]","No","1be5b4ee-fbb9-4418-a280-05153ea9f152",1,6
"100",11002,2,"F","(-1,5]","No","30f14db2-dae8-400f-a2f4-efb62482cc8e",5,48
"101",11002,2,"F","(-1,5]","No","3293316e-d36c-45e6-88cc-b33187d6b9ed",0,3
"102",11002,2,"F","(-1,5]","No","3a3a682a-0f56-4ef6-9761-0c149ef46333",3,87
"103",11002,2,"F","(-1,5]","No","488b2fbc-fbb2-4cf6-9e7d-60289c537e41",0,1
"104",11002,2,"F","(-1,5]","No","4dec7ba5-4230-491e-a235-4d4227946a9a",4,65
"105",11002,2,"F","(-1,5]","No","5597fa3c-0af7-4956-ba31-4b4bf77db9e4",0,1
"106",11002,2,"F","(-1,5]","No","590dd5d9-e5ef-433d-a575-2111f82df6bf",1,8
"107",11002,2,"F","(-1,5]","No","64d17fa0-0d35-478d-bcb3-9b4d48f6b8fd",14,120
"108",11002,2,"F","(-1,5]","No","6656fc5b-e8fb-474b-a93a-003d06326051",4,31
"109",11002,2,"F","(-1,5]","No","905ee4e8-ed75-488a-a9ff-c7d44bfc3b1d",12,74
"110",11002,2,"F","(-1,5]","No","d3d14d04-85f9-4a6a-bf01-94074444886b",1,50
"111",11002,2,"F","(-1,5]","No","dee52db4-e619-4f9c-bf45-9b9c91ee8693",0,1
"112",11002,2,"F","(-1,5]","No","f2982f79-eb93-489f-a323-ed2799f93308",0,1
"113",11002,2,"F","(-1,5]","Yes","15b39ce4-97e2-4f75-986d-d0120c628875",0,1
"114",11002,2,"F","(-1,5]","Yes","16861f2e-8650-11e6-93e4-0050568a1344",0,1
"115",11002,2,"F","(-1,5]","Yes","16886497-8650-11e6-93e4-0050568a1344",1,26
"116",11002,2,"F","(-1,5]","Yes","1688ebe0-8650-11e6-93e4-0050568a1344",1,10
"117",11002,2,"F","(-1,5]","Yes","1be5b4ee-fbb9-4418-a280-05153ea9f152",0,1
"118",11002,2,"F","(-1,5]","Yes","30f14db2-dae8-400f-a2f4-efb62482cc8e",1,46
"119",11002,2,"F","(-1,5]","Yes","3293316e-d36c-45e6-88cc-b33187d6b9ed",0,1
"120",11002,2,"F","(-1,5]","Yes","3a3a682a-0f56-4ef6-9761-0c149ef46333",2,49
"121",11002,2,"F","(-1,5]","Yes","4dec7ba5-4230-491e-a235-4d4227946a9a",1,18
"122",11002,2,"F","(-1,5]","Yes","64d17fa0-0d35-478d-bcb3-9b4d48f6b8fd",9,84
"123",11002,2,"F","(-1,5]","Yes","6656fc5b-e8fb-474b-a93a-003d06326051",2,18
"124",11002,2,"F","(-1,5]","Yes","905ee4e8-ed75-488a-a9ff-c7d44bfc3b1d",5,100
"125",11002,2,"F","(-1,5]","Yes","d3d14d04-85f9-4a6a-bf01-94074444886b",4,75
"126",11002,2,"F","(16,50]","No","08776e5f-c289-414a-8f45-117a3a90c181",0,1
"127",11002,2,"F","(16,50]","No","0f3642b8-921b-40d4-8bd8-f8a8874df64b",0,2
"128",11002,2,"F","(16,50]","No","12335ea7-2ccd-4729-9c05-1dbb4f9e07bc",0,12
"129",11002,2,"F","(16,50]","No","15b39ce4-97e2-4f75-986d-d0120c628875",1,54
"130",11002,2,"F","(16,50]","No","167af080-8650-11e6-93e4-0050568a1344",0,2
"131",11002,2,"F","(16,50]","No","167c8263-8650-11e6-93e4-0050568a1344",0,6
"132",11002,2,"F","(16,50]","No","167cb900-8650-11e6-93e4-0050568a1344",0,2
"133",11002,2,"F","(16,50]","No","167d3ad6-8650-11e6-93e4-0050568a1344",0,4
"134",11002,2,"F","(16,50]","No","167e4772-8650-11e6-93e4-0050568a1344",0,8
"135",11002,2,"F","(16,50]","No","167e4a94-8650-11e6-93e4-0050568a1344",0,1
"136",11002,2,"F","(16,50]","No","167e5d24-8650-11e6-93e4-0050568a1344",0,2
"137",11002,2,"F","(16,50]","No","167e9787-8650-11e6-93e4-0050568a1344",1,18
"138",11002,2,"F","(16,50]","No","167ef4cc-8650-11e6-93e4-0050568a1344",0,1
"139",11002,2,"F","(16,50]","No","1680232d-8650-11e6-93e4-0050568a1344",0,1
"140",11002,2,"F","(16,50]","No","1684ea10-8650-11e6-93e4-0050568a1344",1,4
"141",11002,2,"F","(16,50]","No","1684eb18-8650-11e6-93e4-0050568a1344",1,52
"142",11002,2,"F","(16,50]","No","16853ce2-8650-11e6-93e4-0050568a1344",0,2
"143",11002,2,"F","(16,50]","No","16859f81-8650-11e6-93e4-0050568a1344",0,1
"144",11002,2,"F","(16,50]","No","1685d1fd-8650-11e6-93e4-0050568a1344",0,5
"145",11002,2,"F","(16,50]","No","16861f2e-8650-11e6-93e4-0050568a1344",12,70
"146",11002,2,"F","(16,50]","No","16862b0c-8650-11e6-93e4-0050568a1344",0,2
"147",11002,2,"F","(16,50]","No","16865d91-8650-11e6-93e4-0050568a1344",0,1
"148",11002,2,"F","(16,50]","No","16868936-8650-11e6-93e4-0050568a1344",0,9
"149",11002,2,"F","(16,50]","No","1686963a-8650-11e6-93e4-0050568a1344",0,5
"150",11002,2,"F","(16,50]","No","1686c9df-8650-11e6-93e4-0050568a1344",0,3
"151",11002,2,"F","(16,50]","No","1686d7d9-8650-11e6-93e4-0050568a1344",0,1
"152",11002,2,"F","(16,50]","No","1686d888-8650-11e6-93e4-0050568a1344",0,9
"153",11002,2,"F","(16,50]","No","1687187d-8650-11e6-93e4-0050568a1344",1,4
"154",11002,2,"F","(16,50]","No","16871b22-8650-11e6-93e4-0050568a1344",1,2
"155",11002,2,"F","(16,50]","No","1687af81-8650-11e6-93e4-0050568a1344",0,5
"156",11002,2,"F","(16,50]","No","1687e286-8650-11e6-93e4-0050568a1344",0,1
"157",11002,2,"F","(16,50]","No","1687fba0-8650-11e6-93e4-0050568a1344",0,1
"158",11002,2,"F","(16,50]","No","16880d1d-8650-11e6-93e4-0050568a1344",0,5
"159",11002,2,"F","(16,50]","No","16886497-8650-11e6-93e4-0050568a1344",16,393
"160",11002,2,"F","(16,50]","No","1688ebe0-8650-11e6-93e4-0050568a1344",8,726
"161",11002,2,"F","(16,50]","No","1be5b4ee-fbb9-4418-a280-05153ea9f152",1,68
"162",11002,2,"F","(16,50]","No","1d2d68a3-0583-47b4-9aba-cbdf405dd253",0,1
"163",11002,2,"F","(16,50]","No","1f244dd7-ce06-4782-8352-18485e0a2bad",0,1
"164",11002,2,"F","(16,50]","No","30f14db2-dae8-400f-a2f4-efb62482cc8e",26,940
"165",11002,2,"F","(16,50]","No","321ccdeb-dc09-4362-8d68-cc507971f530",0,3
"166",11002,2,"F","(16,50]","No","3293316e-d36c-45e6-88cc-b33187d6b9ed",1,65
"167",11002,2,"F","(16,50]","No","343da615-4bf8-4802-bf13-3ef069b55119",0,2
"168",11002,2,"F","(16,50]","No","3a3a682a-0f56-4ef6-9761-0c149ef46333",12,587
"169",11002,2,"F","(16,50]","No","40516ed6-286c-48dd-853b-0e6380b8442d",0,2
"170",11002,2,"F","(16,50]","No","488b2fbc-fbb2-4cf6-9e7d-60289c537e41",0,1
"171",11002,2,"F","(16,50]","No","4dec7ba5-4230-491e-a235-4d4227946a9a",11,667
"172",11002,2,"F","(16,50]","No","4ee3ad71-9e70-4e9c-aaa4-4de9b23c8529",0,1
"173",11002,2,"F","(16,50]","No","5597fa3c-0af7-4956-ba31-4b4bf77db9e4",0,18
"174",11002,2,"F","(16,50]","No","590dd5d9-e5ef-433d-a575-2111f82df6bf",3,103
"175",11002,2,"F","(16,50]","No","5c6b3874-e1e0-43c1-9e8f-0d1cbead2769",0,6
"176",11002,2,"F","(16,50]","No","5fb3a5ab-81d2-45e0-bf3f-27445bc60006",0,10
"177",11002,2,"F","(16,50]","No","6152b578-b744-4ef7-9570-80dc0371a028",0,1
"178",11002,2,"F","(16,50]","No","64d17fa0-0d35-478d-bcb3-9b4d48f6b8fd",19,710
"179",11002,2,"F","(16,50]","No","6656fc5b-e8fb-474b-a93a-003d06326051",15,374
"180",11002,2,"F","(16,50]","No","792dac44-dcd5-4bc5-ae3c-b9d726116253",0,3
"181",11002,2,"F","(16,50]","No","828cbabb-dd7d-4cbe-b30c-4fb1cc8db072",0,1
"182",11002,2,"F","(16,50]","No","905ee4e8-ed75-488a-a9ff-c7d44bfc3b1d",7,359
"183",11002,2,"F","(16,50]","No","a5813f61-c084-42ef-963f-1d8343881313",1,3
"184",11002,2,"F","(16,50]","No","b12e66bc-bf84-4a1d-83c2-c87e8eddae10",0,1
"185",11002,2,"F","(16,50]","No","d3d14d04-85f9-4a6a-bf01-94074444886b",1,217
"186",11002,2,"F","(16,50]","No","d8e98bfa-06b8-43e5-8b16-28187bc99301",0,2
"187",11002,2,"F","(16,50]","No","d9a9b12a-4e6d-445c-a4a1-6678f8a6ac50",0,1
"188",11002,2,"F","(16,50]","No","dee52db4-e619-4f9c-bf45-9b9c91ee8693",0,3
"189",11002,2,"F","(16,50]","No","f2982f79-eb93-489f-a323-ed2799f93308",0,3
"190",11002,2,"F","(16,50]","No","f6c48240-83ac-4f66-a9b0-4053a63737b8",0,11
"191",11002,2,"F","(16,50]","No","f7da548a-09f3-4c99-ac43-c1f75d4ae443",0,1
"192",11002,2,"F","(16,50]","Yes","12335ea7-2ccd-4729-9c05-1dbb4f9e07bc",0,4
"193",11002,2,"F","(16,50]","Yes","15b39ce4-97e2-4f75-986d-d0120c628875",1,4
"194",11002,2,"F","(16,50]","Yes","167d3ad6-8650-11e6-93e4-0050568a1344",0,1
"195",11002,2,"F","(16,50]","Yes","167e9787-8650-11e6-93e4-0050568a1344",0,5
"196",11002,2,"F","(16,50]","Yes","167ef4cc-8650-11e6-93e4-0050568a1344",0,2
"197",11002,2,"F","(16,50]","Yes","1680232d-8650-11e6-93e4-0050568a1344",0,1
"198",11002,2,"F","(16,50]","Yes","1684eb18-8650-11e6-93e4-0050568a1344",0,3
"199",11002,2,"F","(16,50]","Yes","168530de-8650-11e6-93e4-0050568a1344",0,1
"200",11002,2,"F","(16,50]","Yes","1685d1fd-8650-11e6-93e4-0050568a1344",0,1
"201",11002,2,"F","(16,50]","Yes","16861f2e-8650-11e6-93e4-0050568a1344",2,23
"202",11002,2,"F","(16,50]","Yes","1686963a-8650-11e6-93e4-0050568a1344",0,1
"203",11002,2,"F","(16,50]","Yes","1686d7d9-8650-11e6-93e4-0050568a1344",0,1
"204",11002,2,"F","(16,50]","Yes","16872fae-8650-11e6-93e4-0050568a1344",0,1
"205",11002,2,"F","(16,50]","Yes","16880d1d-8650-11e6-93e4-0050568a1344",0,1
"206",11002,2,"F","(16,50]","Yes","16886497-8650-11e6-93e4-0050568a1344",8,115
"207",11002,2,"F","(16,50]","Yes","1688ebe0-8650-11e6-93e4-0050568a1344",2,109
"208",11002,2,"F","(16,50]","Yes","1be5b4ee-fbb9-4418-a280-05153ea9f152",0,7
"209",11002,2,"F","(16,50]","Yes","1d2d68a3-0583-47b4-9aba-cbdf405dd253",0,1
"210",11002,2,"F","(16,50]","Yes","30f14db2-dae8-400f-a2f4-efb62482cc8e",15,314
"211",11002,2,"F","(16,50]","Yes","321ccdeb-dc09-4362-8d68-cc507971f530",0,2
"212",11002,2,"F","(16,50]","Yes","3293316e-d36c-45e6-88cc-b33187d6b9ed",0,4
"213",11002,2,"F","(16,50]","Yes","3a3a682a-0f56-4ef6-9761-0c149ef46333",2,245
"214",11002,2,"F","(16,50]","Yes","4dec7ba5-4230-491e-a235-4d4227946a9a",5,178
"215",11002,2,"F","(16,50]","Yes","5597fa3c-0af7-4956-ba31-4b4bf77db9e4",0,4
